,Speaker Party,color
0,Ensemble à Gauche (EAG),#AD4F89
1,Partei der Arbeit Schweiz (PDA),#BF3939
2,Alternative Linke (AL),#A83232
3,SolidaritéS (SOL),#A83232
4,Décroissance - Alternatives (DA),#A83232
5,Solidarité & Écologie (SE),#A83232
6,Kommunistische Partei (KP),#8C2736
7,Junge Alternative (JA),#8C2736
8,Jeunesses Socialistes du Valais Romand (JSVR),#F0554D
9,Sozialdemokratische Partei der Schweiz (SP),#F0554D
10,Jungsozialist*Innen Schweiz (JUSO),#F0554D
11,Grüne Partei der Schweiz (GPS),#84B547
12,Junge Grüne (JG),#84B547
13,Grünliberale Partei (glp),#C4C43D
14,Junge Grünliberale (JGLP),#C4C43D
15,Bürgerlich-Demokratische Partei Schweiz (BDP),#E6C820
16,Junge BDP (JBDP),#E6C820
17,Evangelische Volkspartei der Schweiz (EVP),#DEAA28
18,Junge Evangelische Volkspartei (JEVP),#DEAA28
19,Christlichdemokratische Volkspartei der Schweiz (CVP),#D6862B
20,Junge CVP (JCVP),#D6862B
21,Christlichsoziale Volkspartei Oberwallis (CSPO),#E3BA24
22,Junge Christlichsoziale Volkspartei Oberwallis (JCSPO),#E3BA24
23,Piratenpartei (PPS),#E7B661
24,Landesring der Unabhängigen (LdU),#1BAA6E
25,Christlich-soziale Partei (CSP),#35AEB2
26,Junge CSP (JCSP),#35AEB2
27,Parti Chrétien-social Indépendant (PCSI),#35AEB2
28,Christlich-soziale Partei Obwalden (csp-ow),#B72733
29,Liberale Partei Schweiz (LPS),#618DEA
30,Liberal-Demokratische Partei (LDP),#618DEA
31,Junge LDP Basel-Stadt (JLDP),#618DEA
32,FDP.Die Liberalen (FDP-Liberale),#3872B5
33,Jungfreisinnige (JFS),#3872B5
34,Unabhängigkeitspartei (UP),#3872B5
35,Schweizerische Volkspartei (SVP),#4B8A3E
36,Junge SVP (JSVP),#4B8A3E
37,Mouvement Citoyens Romand (MCR),#49A5E7
38,MCR Jeunesse (MCRJ),#49A5E7
39,Lega dei Ticinesi (Lega),#9070D4
40,Partei National Orientierter Schweizer (PNOS),#B07F3E
41,Eidgenössisch-Demokratische Union (EDU),#A65E42
42,Junge EDU (JEDU),#A65E42
43,Schweizer Demokraten (SD),#9D9D9D
44,Auto-Partei (AUTO),#9D9D9D
45,Freiheits-Partei (FPS),#9D9D9D
46,parteilos (-),#B8B8B8
47,andere (OTHER),#B8B8B8
48,Christlichdemokratische Volkspartei Oberwallis (CVPO),#D6862B
49,Grüne (Basels starke Alternative) (BastA),#84B547
50,Grünes Bündnis (GB),#84B547
51,Alternative Kanton Zug (Al),#84B547
